Categoria,2010-2011,2014-2015,2018-2019,2021-2022,2024-2025,Cambio_2010_2025
TOTAL,27.80,29.90,30.80,10.50,30.00,2.20
Hombres,25.00,26.80,27.80,9.70,26.60,1.60
Mujeres,30.50,32.90,33.70,11.30,33.20,2.70
15–24 años,31.20,35.30,38.10,12.10,30.50,-0.70
25–34 años,33.30,32.40,34.50,12.50,31.20,-2.10
35–44 años,35.70,36.80,37.10,12.80,35.00,-0.70
45–54 años,30.10,32.90,32.30,11.40,34.10,4.00
55+ años,17.50,21.60,23.40,7.90,25.50,8.00
Primaria,17.80,18.10,19.40,6.40,18.30,0.50
Secundaria,33.00,34.20,40.00,9.90,28.30,-4.70
Superior,43.30,49.20,47.00,16.40,45.10,1.80
